epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28353,1.52841,3.56981,1.51596,0.00333,1,0.398,0.2089,1.2672,2.97209,1.25518,4e-05,4e-05,4e-05
2,17.8691,1.98425,4.11129,1.70512,0.00333,1,0.995,0.696,0.8488,2.8982,1.01898,9.87625e-05,9.87625e-05,9.87625e-05
3,25.7813,1.24274,3.17212,1.34903,0.00333,1,0.995,0.69681,0.92468,2.99671,1.06029,0.00015604,0.00015604,0.00015604
4,33.7548,1.10169,2.87537,1.2062,0.00333,1,0.995,0.696,0.99855,2.98941,1.09819,0.000211833,0.000211833,0.000211833
5,41.2318,1.28137,2.54017,1.22266,0.00333,1,0.995,0.7455,0.79932,2.92721,0.96697,0.00026614,0.00026614,0.00026614
6,48.9254,0.81425,2.1533,1.01037,0.00333,1,0.995,0.77075,0.71495,2.73317,0.91976,0.000318963,0.000318963,0.000318963
7,55.6427,0.83694,1.68578,1.09257,0.00333,1,0.995,0.77075,0.64507,2.60116,0.85262,0.0003703,0.0003703,0.0003703
8,58.6032,0.64657,1.41911,0.87968,0.00986,1,0.995,0.796,0.9985,2.46445,1.13865,0.000420152,0.000420152,0.000420152
9,61.2224,0.94952,1.26795,1.01576,0.00986,1,0.995,0.796,0.9985,2.46445,1.13865,0.00046852,0.00046852,0.00046852
10,63.9751,0.91122,1.28146,1.08056,0.95396,1,0.995,0.6465,1.23919,2.03222,1.30997,0.000515403,0.000515403,0.000515403
11,66.699,0.88686,1.58779,1.04523,0.95396,1,0.995,0.6465,1.23919,2.03222,1.30997,0.0005608,0.0005608,0.0005608
12,69.3377,0.93945,1.70295,1.1231,0.97817,1,0.995,0.6465,1.1268,1.97357,1.25751,0.000604713,0.000604713,0.000604713
13,71.9641,0.74965,1.13899,0.97585,0.97817,1,0.995,0.6465,1.1268,1.97357,1.25751,0.00064714,0.00064714,0.00064714
14,74.6707,0.78479,1.43857,0.91622,0.77963,1,0.995,0.72125,0.95927,2.24032,0.98621,0.000688083,0.000688083,0.000688083
15,77.2325,0.91536,1.31671,1.13866,0.77963,1,0.995,0.72125,0.95927,2.24032,0.98621,0.00072754,0.00072754,0.00072754
16,79.7927,0.79754,1.37517,1.02647,0.77963,1,0.995,0.72125,0.95927,2.24032,0.98621,0.000765512,0.000765512,0.000765512
17,82.4998,0.80976,1.22159,1.01362,1,0.94702,0.995,0.8955,0.63353,2.17224,0.88287,0.000802,0.000802,0.000802
18,85.3347,0.94347,1.7152,1.16456,1,0.94702,0.995,0.8955,0.63353,2.17224,0.88287,0.000837003,0.000837003,0.000837003
19,88.0382,1.59451,2.44643,1.90692,1,0.94702,0.995,0.8955,0.63353,2.17224,0.88287,0.00087052,0.00087052,0.00087052
20,90.7465,1.40826,1.83499,1.46064,1,0.96189,0.995,0.8955,0.65839,1.98886,0.90758,0.000902552,0.000902552,0.000902552
21,93.4504,0.97963,1.27052,1.03481,1,0.96189,0.995,0.8955,0.65839,1.98886,0.90758,0.0009331,0.0009331,0.0009331
22,96.0325,1.10669,1.27502,1.11946,1,0.96189,0.995,0.8955,0.65839,1.98886,0.90758,0.000962162,0.000962162,0.000962162
23,98.7768,0.87107,1.35368,1.05743,1,0.96189,0.995,0.8955,0.65839,1.98886,0.90758,0.00098974,0.00098974,0.00098974
24,101.444,0.95329,1.29495,1.04271,0.97563,1,0.995,0.796,0.81164,1.63638,1.09801,0.00101583,0.00101583,0.00101583
25,104.183,1.16763,1.7392,1.30245,0.97563,1,0.995,0.796,0.81164,1.63638,1.09801,0.00104044,0.00104044,0.00104044
26,106.937,0.96345,1.61432,1.21368,0.97563,1,0.995,0.796,0.81164,1.63638,1.09801,0.00106356,0.00106356,0.00106356
27,109.592,0.77802,1.05498,0.97077,0.97563,1,0.995,0.796,0.81164,1.63638,1.09801,0.0010852,0.0010852,0.0010852
28,112.35,0.84676,1.30923,1.01186,0.97563,1,0.995,0.796,0.81164,1.63638,1.09801,0.00110535,0.00110535,0.00110535
29,115.106,1.04172,1.36739,1.15872,0.98417,1,0.995,0.796,0.77232,1.43756,1.07043,0.00112402,0.00112402,0.00112402
30,117.892,1.0028,1.72792,1.16261,0.98417,1,0.995,0.796,0.77232,1.43756,1.07043,0.0011412,0.0011412,0.0011412
31,120.753,0.82176,1.57003,1.03083,0.98417,1,0.995,0.796,0.77232,1.43756,1.07043,0.0011569,0.0011569,0.0011569
32,123.572,0.85426,1.34117,1.12831,0.98417,1,0.995,0.796,0.77232,1.43756,1.07043,0.00117111,0.00117111,0.00117111
33,126.267,0.79232,1.31872,0.99799,0.98417,1,0.995,0.796,0.77232,1.43756,1.07043,0.00118384,0.00118384,0.00118384
34,130.716,0.85063,1.29116,1.04528,0.9815,1,0.995,0.8955,0.61039,1.275,0.93218,0.00118325,0.00118325,0.00118325
35,138.752,0.74106,1.59209,1.05888,0.9815,1,0.995,0.8955,0.61039,1.275,0.93218,0.0011585,0.0011585,0.0011585
36,146.764,0.77739,1.15716,0.94867,0.9815,1,0.995,0.8955,0.61039,1.275,0.93218,0.00113375,0.00113375,0.00113375
37,154.705,0.73247,0.99604,0.93839,0.9815,1,0.995,0.8955,0.61039,1.275,0.93218,0.001109,0.001109,0.001109
38,162.43,0.92621,1.22243,1.13002,0.9815,1,0.995,0.8955,0.61039,1.275,0.93218,0.00108425,0.00108425,0.00108425
39,170.348,0.77058,1.24147,0.99563,0.9815,1,0.995,0.8955,0.61039,1.275,0.93218,0.0010595,0.0010595,0.0010595
40,178.492,0.71946,1.2542,0.89497,0.98271,1,0.995,0.8455,0.58267,1.04061,0.9002,0.00103475,0.00103475,0.00103475
41,186.268,0.69771,1.35725,1.12813,0.98271,1,0.995,0.8455,0.58267,1.04061,0.9002,0.00101,0.00101,0.00101
42,193.89,0.9383,2.28172,1.18026,0.98271,1,0.995,0.8455,0.58267,1.04061,0.9002,0.00098525,0.00098525,0.00098525
43,201.349,0.6343,1.20302,0.90595,0.98271,1,0.995,0.8455,0.58267,1.04061,0.9002,0.0009605,0.0009605,0.0009605
44,204.282,0.68239,1.16694,0.95893,0.98271,1,0.995,0.8455,0.58267,1.04061,0.9002,0.00093575,0.00093575,0.00093575
45,207.374,0.93876,1.33822,1.03947,0.98271,1,0.995,0.8455,0.67906,1.04252,0.92627,0.000911,0.000911,0.000911
46,210.145,0.44861,3.9686,0.61554,0.98271,1,0.995,0.8455,0.67906,1.04252,0.92627,0.00088625,0.00088625,0.00088625
47,212.998,0.69445,1.06803,0.89589,0.98271,1,0.995,0.8455,0.67906,1.04252,0.92627,0.0008615,0.0008615,0.0008615
